,id,img,lable,text
9462,53427,hateful_memes/img/53427.png,0,ahmed i love you too
1498,31907,hateful_memes/img/31907.png,0,"i once went to a halloween party only in my jeans. and everyone was so confused and asked me what it means could you please explain your appearance to us, by chance? i said ""i'm premature ejaculation; i just came in my pants."""
6630,13542,hateful_memes/img/13542.png,0,yobo you only blowup once
2210,81069,hateful_memes/img/81069.png,0,when you bout to nut in your cousin and you hear the barn door open
4702,21648,hateful_memes/img/21648.png,0,gets mad about film portraying muslims as murderous savages responds by being a murdering savage
6956,35970,hateful_memes/img/35970.png,1,when i grow up... lol nevermind
360,30148,hateful_memes/img/30148.png,1,you mean i don't have to pick it?!?
11948,59187,hateful_memes/img/59187.png,0,when ur too young to know how to read
3785,81349,hateful_memes/img/81349.png,0,when you convert your dishwasher into a weed eater
11083,93517,hateful_memes/img/93517.png,1,fighting them is nothing new. letting them come into our land and spread their disease is
1413,40681,hateful_memes/img/40681.png,0,having a child didn't ruin my life it saved my life
7719,67849,hateful_memes/img/67849.png,0,fuck you america!
724,98374,hateful_memes/img/98374.png,1,when you want to enter islam when you want to leave islam
10018,29643,hateful_memes/img/29643.png,1,"dad, dishwasher is loaded again '' ''"
8411,09482,hateful_memes/img/09482.png,0,marital status?? in a relationsheep.
10252,71869,hateful_memes/img/71869.png,1,jewish privilege running all the banks and fleecing us with their usury white privilege getting blamed for the world's problems by jewish supremacists
5336,52783,hateful_memes/img/52783.png,0,when your white friends invite you to dinner and tell you to bring whatever you want
3776,81625,hateful_memes/img/81625.png,0,"before i get drunk, lose my phone, get naked and arrested i want to wish you assholes a happy new year"
247,16420,hateful_memes/img/16420.png,0,abnormal vs normal
10992,64219,hateful_memes/img/64219.png,1,this story touched my heart twins separated at birth find eachother after 50 yrs
8693,98603,hateful_memes/img/98603.png,1,"charles martel from the year 732 explains how he kept france safe from muslims ""i slaughtered every single one of those savages, until they retreated back to the third world, poverty stricken hell hole, from which they came."""
8626,71634,hateful_memes/img/71634.png,0,i'm really sorry you're not feeling well today... but i'm still gonna need a sandwich
396,98720,hateful_memes/img/98720.png,0,when your wife just died giving birth to your daughter and you're alone in the room with your naked just born daughter
10724,12493,hateful_memes/img/12493.png,1,you wouldn't mind if we searched ze house? it's not like you're hiding any cringe in ze attic
8791,80317,hateful_memes/img/80317.png,0,ice cube has been targeted by gay activist for using homophobic lyrics in the past
2301,71364,hateful_memes/img/71364.png,1,obama voters
7195,25984,hateful_memes/img/25984.png,1,whipepo reading the comments like
6829,20891,hateful_memes/img/20891.png,0,"""gun control"" doesn't mean what you think it means it means only the state will have guns if you think that's a good idea you need to read a history book"
3833,32490,hateful_memes/img/32490.png,0,"me giving nicknames to men who have wasted my time: we will call you, ""almost."""
4074,45691,hateful_memes/img/45691.png,1,"call me ""sir"" one more time and i'll show you a sir! macho ma'am tranny savage"
8272,31708,hateful_memes/img/31708.png,0,"me, the first time my sweet, beautiful baby boy ever brings a girl home to meet me. why don't you go back to your home on whore island?"
8944,74801,hateful_memes/img/74801.png,1,you're gay? that's a lifestyle choice.. ...by which i mean i hate you for being gay
2174,70532,hateful_memes/img/70532.png,0,it's important to listen to your elders please don't forget!
5768,38761,hateful_memes/img/38761.png,1,moslems kill hundreds of innocents on a weekly basis and no one bats an eye one aussie goes sick and everyone loses their fucking minds
9414,31948,hateful_memes/img/31948.png,0,the left can't meme because the left is a meme
6032,69305,hateful_memes/img/69305.png,0,travel size coffee maker
3375,74589,hateful_memes/img/74589.png,0,"when you use ""n"" word when you word for use ""n"" filipinos"
8151,65824,hateful_memes/img/65824.png,1,when you want to win but you're already 5 down before you even start
8218,60238,hateful_memes/img/60238.png,1,dark humor is like good food not everyone deserve it ;
218,39578,hateful_memes/img/39578.png,1,one of the bullets they dug out of a victim from the orland gay night club shooting!
1250,69308,hateful_memes/img/69308.png,1,texting and flying n what's the worst that could happen?
7388,21047,hateful_memes/img/21047.png,1,this chick can't stand fishing
2813,10328,hateful_memes/img/10328.png,1,how dikes look when they're in line paying for their pads
6350,95763,hateful_memes/img/95763.png,1,i was gonna make a muslim joke but they always blow up in your face gotta be careful
3105,30742,hateful_memes/img/30742.png,1,"i don't always fuck midgets but when i do, i go balls deep"
11365,05694,hateful_memes/img/05694.png,0,represent your country's flag until death
6975,92854,hateful_memes/img/92854.png,0,when he asks you to see your hair
8263,56019,hateful_memes/img/56019.png,0,damn they really out here thinking they making it to class
2444,68042,hateful_memes/img/68042.png,0,i think i almost got my dishwasher working
4705,09486,hateful_memes/img/09486.png,0,don't get me started about your problems
2464,38127,hateful_memes/img/38127.png,0,how the co looks when he tells the crew were not getting mail on the next ras
2348,38041,hateful_memes/img/38041.png,0,justin trudeau the imam of canada
9459,54389,hateful_memes/img/54389.png,1,be sure to spay or neuter your spouse today
1355,06387,hateful_memes/img/06387.png,1,when your leader is killed by a drone and you get to fuck his herd of goats
7344,29684,hateful_memes/img/29684.png,1,"it's not immigration, it's not asylum seeking it's an invasion!"
7171,39012,hateful_memes/img/39012.png,1,i threw my new muslim neighbors a house-warming party the police called it arson...whatever
8581,92013,hateful_memes/img/92013.png,0,"""heeeadddd shoulders wheel and frame wheel and frame"""
2388,34805,hateful_memes/img/34805.png,0,when you're trying to be a good student and just learn magic but three kids in class keep getting in trouble all the time
10991,08514,hateful_memes/img/08514.png,1,i'm down.. ...with that
4791,59641,hateful_memes/img/59641.png,0,"oh look, a tiny bit of rain ...and i've forgotten how to drive"
10035,97208,hateful_memes/img/97208.png,0,jerry nadler's back on tinder
10006,43952,hateful_memes/img/43952.png,1,america has stolen the jews the jews of god. his jewelry. the negroes they are the true hebrews. google it
11090,16745,hateful_memes/img/16745.png,1,a little gas never killed anybody right?
6253,15076,hateful_memes/img/15076.png,0,immigrant problem problem fixed
6259,56189,hateful_memes/img/56189.png,0,hiroshima 1945 2016 detroit 1945 2016 moral of the story.. it's easier to come back from a nuclear bomb than 5 decades of big gover government policies
2019,64125,hateful_memes/img/64125.png,0,ooof. that's gotta hurt
3021,07312,hateful_memes/img/07312.png,0,yeah bitches totalinarism is a sham
3660,21936,hateful_memes/img/21936.png,0,the best revenge is leaving somebody completely tf alone
1964,03568,hateful_memes/img/03568.png,0,time to play rich vs the constitution
8372,54812,hateful_memes/img/54812.png,0,what in tranation is this contraption
8999,74361,hateful_memes/img/74361.png,1,when the bell goes off on the first day of school and the autistic kid thinks it's the hunger games
11591,76830,hateful_memes/img/76830.png,0,one of these is safer than the other
8943,84361,hateful_memes/img/84361.png,0,the brits gave up their guns and now their gov't can jail them for not having a television license
8688,02576,hateful_memes/img/02576.png,0,this is a snakes mouth it all makes fucking sense now
10596,12945,hateful_memes/img/12945.png,1,a never underestimate the danger of large groups of conservative christians!!
850,34067,hateful_memes/img/34067.png,0,international day against violence
3120,42853,hateful_memes/img/42853.png,1,when you get kicked out the library for putting women's rights books in the fiction section i'm right
7425,56973,hateful_memes/img/56973.png,0,how to make everyone hate you
3470,80925,hateful_memes/img/80925.png,0,good things small packages
5766,64958,hateful_memes/img/64958.png,0,look son an idiot
3244,71245,hateful_memes/img/71245.png,0,not sure if i should steal or purchase with food stamps
7706,35480,hateful_memes/img/35480.png,1,got a new slow cooker
9035,58417,hateful_memes/img/58417.png,0,all complete no missing parts
5792,78650,hateful_memes/img/78650.png,0,i remember when your mom dropped you off to school she got a fine for littering
7180,46318,hateful_memes/img/46318.png,0,when you don't have to see your ex future mother-in-lav anymore
5531,37129,hateful_memes/img/37129.png,0,me: puts bag of popcorn into the microwave every one else at the senior center:
11473,25931,hateful_memes/img/25931.png,0,how roaches be when you shut off the kitchen light
3210,51480,hateful_memes/img/51480.png,0,duramax owners be like smokes like a freight train
4541,65103,hateful_memes/img/65103.png,0,mornings be like
2588,54936,hateful_memes/img/54936.png,0,summers here lets swim
2655,18597,hateful_memes/img/18597.png,0,they stole ma chickin i stole their life
9544,72819,hateful_memes/img/72819.png,0,"""no, this is no good. you could fit a mexican child through here"
5547,32947,hateful_memes/img/32947.png,0,if you hear people from my past speak of me keep in mind they are speaking of a person they don't even know anymore
6558,28076,hateful_memes/img/28076.png,0,jolo jew only live once
9016,03128,hateful_memes/img/03128.png,1,lazy day nothing to steal
5076,07693,hateful_memes/img/07693.png,1,marokko speed dating
9563,26049,hateful_memes/img/26049.png,0,i do not want to hear anymore about gun control from a person who is making it easy for iran to obtain nuclear weapons!!!
4048,18074,hateful_memes/img/18074.png,1,hide and go seek champion july 6 1942 - august 4 1944
9364,83927,hateful_memes/img/83927.png,1,'' i'm gonna be a tranpa!
4847,45732,hateful_memes/img/45732.png,0,when you have a small dick and tell a jewish girl to suck it i can't
251,96250,hateful_memes/img/96250.png,0,i'm going home i'm russian
6315,23759,hateful_memes/img/23759.png,1,this nigar behind me ain't in compliance
3914,65829,hateful_memes/img/65829.png,0,"about these ""russians"", do you see them often? are they in the room with us now?"
1153,01324,hateful_memes/img/01324.png,0,the great train robbers
8933,83760,hateful_memes/img/83760.png,0,you can tell that it's aspen tree because of the way it is
1983,35487,hateful_memes/img/35487.png,0,randomly deciding to bake something
3274,38495,hateful_memes/img/38495.png,1,it didn't happen because of the actions of one man it happened because of people who were 'just doing their jobs'
10885,12394,hateful_memes/img/12394.png,1,so i guess mcdonalds is out of the question
50,75392,hateful_memes/img/75392.png,0,hitler used cremation ovens
1373,87510,hateful_memes/img/87510.png,1,similar to sharks because all the great ones are white
4747,02571,hateful_memes/img/02571.png,0,former first lady during an interview
4520,56143,hateful_memes/img/56143.png,0,"ugly mafuckas be like... bru, i know she want me i got dreads"
385,86357,hateful_memes/img/86357.png,0,apparently not erdogan
7969,05276,hateful_memes/img/05276.png,0,talk about that for a team photo
6745,07685,hateful_memes/img/07685.png,1,"*when i finally snap and actually kill myself after years of saying ""i wanna die""* my friends: you did it. you crazy son of a bitch, you did it"
9803,41305,hateful_memes/img/41305.png,1,see this? it means furfags not welcome!
10220,54719,hateful_memes/img/54719.png,1,when you die for getting 72 hoors when you realise all are goats
5595,61825,hateful_memes/img/61825.png,0,i did the math we cant afford the cat
6706,21056,hateful_memes/img/21056.png,0,how dark is your humor? me:
10887,97185,hateful_memes/img/97185.png,1,best odor removers
4600,09841,hateful_memes/img/09841.png,1,"oh you drive a dodge, do you blow trannys as good as your truck"
5349,74839,hateful_memes/img/74839.png,0,"when you've waited 40 years to be king, but your mother refuses to die"
7207,35894,hateful_memes/img/35894.png,1,"shoot boy, i ain't racist i've got four black tires and a color tv"
6641,34985,hateful_memes/img/34985.png,0,donald trump is my bitch you stupid arrogant americans.!
5747,59601,hateful_memes/img/59601.png,0,fifty shades of goat an isis love story
3058,80197,hateful_memes/img/80197.png,0,former first lady during an interview
9779,50271,hateful_memes/img/50271.png,0,that look you give when dressed to the t
12538,47839,hateful_memes/img/47839.png,0,one of the first prototypes of the atom bomb
7947,36875,hateful_memes/img/36875.png,1,guys i think my dog has autism lmao
4338,96078,hateful_memes/img/96078.png,0,meanwhile at the isis strip club
1608,29437,hateful_memes/img/29437.png,1,what can happen if you eat wheaties for 38 years
12100,76809,hateful_memes/img/76809.png,0,"""farming simulator 19 classic equipment dlc"""
9898,53124,hateful_memes/img/53124.png,0,when your dishwasher is broken so you take it back to walmart to get a new one
4315,46315,hateful_memes/img/46315.png,1,question. how do blind people know when to stop wiping their asses?
11032,43897,hateful_memes/img/43897.png,1,musllim logic: important unimportant
4245,34652,hateful_memes/img/34652.png,1,if you're gonna go boating make sure you have the proper flotation devices
1178,28534,hateful_memes/img/28534.png,0,it's the cowboy way of doin things
3559,83095,hateful_memes/img/83095.png,1,what!? no i am not asian '' ''
4246,15439,hateful_memes/img/15439.png,0,goat yoga is my favorite sport
2054,79346,hateful_memes/img/79346.png,0,voting for hillary is like letting casey anthony watch your kids because she's not guilty
6664,20791,hateful_memes/img/20791.png,0,"islam ""i will instill terror into the hearts of the un believers: smite ye above their necks and smite all their finger-tips off."" quran 8:12"
10283,67250,hateful_memes/img/67250.png,0,beats by dre beats by tyrone
8774,74892,hateful_memes/img/74892.png,0,largemouth bass largemouthed ass
2252,27946,hateful_memes/img/27946.png,1,cadbury's halal creme eggs  now available in special edition
8072,24765,hateful_memes/img/24765.png,0,gun range? i think you mean 2nd amendment theme park
10549,76803,hateful_memes/img/76803.png,1,pol the look on your face when the press think you're a hero but you're just bringing back fresh meat for the tribe
7044,48790,hateful_memes/img/48790.png,0,this makes me puke send all of them back home
6153,24380,hateful_memes/img/24380.png,0,when your dishwasher is ready for another load
5873,75613,hateful_memes/img/75613.png,0,want to party? yeah i'm down
11364,41283,hateful_memes/img/41283.png,0,"my name is cra gonna love this, every single house here recycles"
2455,71249,hateful_memes/img/71249.png,0,islamic warrior's funeral in palestine
5781,07452,hateful_memes/img/07452.png,1,germany builds the first jet but couldn't make a steel door for a gas chamber expose the lie
4954,13962,hateful_memes/img/13962.png,1,dishwasher is broken? slap her a few times
8059,43701,hateful_memes/img/43701.png,1,arrest black babies before they become criminals
8622,32751,hateful_memes/img/32751.png,0,all aboard we are headed home
11567,71035,hateful_memes/img/71035.png,0,wanna buy a graham cracker? a gram of what?
6946,32854,hateful_memes/img/32854.png,0,how do you like them well done please!
11143,70641,hateful_memes/img/70641.png,1,"don't defile the lineage given to you by your forefathers do what's right, keep it white"
8424,15349,hateful_memes/img/15349.png,1,"whenever you feel stupid, remember this"
12393,67532,hateful_memes/img/67532.png,0,things i love to pull behind my trunck
6429,69402,hateful_memes/img/69402.png,1,"socialists want to disarm us and make us use trains no thanks, i've seen where that leads, i'll keep my car"
7414,87425,hateful_memes/img/87425.png,0,claim your free maga hat here great news! my iq tests came back negative
4168,92354,hateful_memes/img/92354.png,0,this is my step ladder i never knew my real ladder
6843,92645,hateful_memes/img/92645.png,1,when the jews genocide you so hard for 50 years that your population triples
9321,60931,hateful_memes/img/60931.png,0,these video game armors are getting pretty ridiculous
1516,17524,hateful_memes/img/17524.png,0,if she responds to your sarcasm with sarcasm instead of getting offended... she's a fucking keeper
8768,72610,hateful_memes/img/72610.png,0,they were right blue really is my color!
3501,64720,hateful_memes/img/64720.png,1,randomly deciding to bake something
624,07392,hateful_memes/img/07392.png,1,once you go black ur a single mom!
927,75923,hateful_memes/img/75923.png,1,"you call that a killing, ahmed? this is a killing!"
8334,14869,hateful_memes/img/14869.png,0,"islam is the religion of peace piece of you over here, piece of you over there"
1739,35470,hateful_memes/img/35470.png,0,can you smell what the reigh is cooking
6604,57631,hateful_memes/img/57631.png,1,adding coolant when the farm equipment overheats
3035,54692,hateful_memes/img/54692.png,0,been talking shit about trump since day one. now crying like bitches after getting called out
11631,58364,hateful_memes/img/58364.png,0,she said put the veggies in the car
8062,91827,hateful_memes/img/91827.png,0,two powerful women in our country
8391,76532,hateful_memes/img/76532.png,0,trump supporters be like mexicans stole my teeth
2124,36072,hateful_memes/img/36072.png,0,"she said ""choke me daddy"" so i gave her 2 popeye's biscuits without a drink"
9927,17390,hateful_memes/img/17390.png,0,"when someone starts acting all friendly, but you already know what they really are"
9239,49723,hateful_memes/img/49723.png,0,archeologists stone room
10739,28053,hateful_memes/img/28053.png,1,which one is hotter? white girl black girl
2227,35219,hateful_memes/img/35219.png,1,they stole ma chickin i stole their life
149,31752,hateful_memes/img/31752.png,1,when you get to choose your own mental illness
11501,12568,hateful_memes/img/12568.png,0,doggo trying to find a cat's weakness
8344,08254,hateful_memes/img/08254.png,0,we've been saved! from what? critical thinking?
10566,20396,hateful_memes/img/20396.png,1,get you a man who will never lay a finger on you or walk out of your life
7292,57912,hateful_memes/img/57912.png,0,uncle daddy and me gonna have us a nephson
3707,31495,hateful_memes/img/31495.png,0,walking into a smokers house like
290,21567,hateful_memes/img/21567.png,1,our dad is a potato farmer
12380,19306,hateful_memes/img/19306.png,0,don't think this cream is working maybe this will work?..... nothing's happening
9937,62175,hateful_memes/img/62175.png,0,this is what it's like to be gay in iran
3742,42865,hateful_memes/img/42865.png,0,"bend over, touch your toes i'll show you where the monster goes"
200,94813,hateful_memes/img/94813.png,0,thats the way allah allah i like it!!!
11318,12065,hateful_memes/img/12065.png,0,deciding to bake
8471,64093,hateful_memes/img/64093.png,0,i married my brother to commit immigration fraud
3352,35786,hateful_memes/img/35786.png,0,get your fucking hawns aff ma willy
4392,05471,hateful_memes/img/05471.png,1,do you still suck dick? faggot
1650,03214,hateful_memes/img/03214.png,0,bartender: how about a nice 12 yr old? him: boy or girl?
12381,81205,hateful_memes/img/81205.png,0,mmm what's cooking
5767,81532,hateful_memes/img/81532.png,0,last summer it was very hot
747,65071,hateful_memes/img/65071.png,0,"we are never going to have healthy life until we take our health seriously, have enough sleep, and pay attention to exercise"
10036,59364,hateful_memes/img/59364.png,0,how a black woman can fight crime
10587,10536,hateful_memes/img/10536.png,1,puzzle level expert
7769,05986,hateful_memes/img/05986.png,0,"we need to be like new zealand new zealand banned rifles, then move to new zealand bitch"
11847,69845,hateful_memes/img/69845.png,0,it takes a real man to wear orange
2254,93521,hateful_memes/img/93521.png,1,ever notice that christians are bad drivers
5826,35287,hateful_memes/img/35287.png,0,i don't know how people wear these everyday feels like this to me
4083,45209,hateful_memes/img/45209.png,1,look muddafucka even i know that's fucking retarded
4793,89264,hateful_memes/img/89264.png,1,elmo laughs as he shows the trannys he chromosome you need to be able to call yourself a man
6948,93405,hateful_memes/img/93405.png,1,i like my coffee like i like my women in the kitchen where they belong
11330,01723,hateful_memes/img/01723.png,0,wait don't forget to feed me!
5479,36821,hateful_memes/img/36821.png,1,take your fuckin' muslim ass back to the sand box!
11602,45132,hateful_memes/img/45132.png,0,hitler tried to destroy a race and he failed
538,09863,hateful_memes/img/09863.png,0,diverse group of women
5065,71825,hateful_memes/img/71825.png,0,a typical white man
10359,87406,hateful_memes/img/87406.png,0,"""democrats have a difficult time connecting with voters because of how smart we are... because we know so much."" ~ sen. mazie hirono (d hi)"
2487,89042,hateful_memes/img/89042.png,1,white people doing weird shit black people being criminals stereotypes they exist for a reason
811,53467,hateful_memes/img/53467.png,0,how you look when youre black and you celebrate the 4th of july
3098,15806,hateful_memes/img/15806.png,0,so much trash we need a garbage collector
4643,30721,hateful_memes/img/30721.png,1,"""harder, harder"" ""that's a good boy"""
5933,65248,hateful_memes/img/65248.png,1,when you have a small dick and tell a jewish girl to suck it. i can't
2688,32768,hateful_memes/img/32768.png,0,theory of everything imdb 7.7/10
6211,12389,hateful_memes/img/12389.png,1,bert and ernie dress up as goats in an attempt to catfish arab men
9222,48316,hateful_memes/img/48316.png,0,meanwhile in mexican schools
4394,53160,hateful_memes/img/53160.png,0,when goats try to pull a car heist
4029,36092,hateful_memes/img/36092.png,0,who is it and what do they do
4184,08415,hateful_memes/img/08415.png,0,all people should be protected by those in blue
2554,69137,hateful_memes/img/69137.png,0,new seat belt design 50% less accidents
5522,97845,hateful_memes/img/97845.png,1,not all black people are criminals
6498,15427,hateful_memes/img/15427.png,0,teach you about him? how can they if the romans killed christ
2611,47598,hateful_memes/img/47598.png,1,"actually retard, the muslims aren't the problem the problem is that pussies are stopping us from killing the muslims"
5561,43217,hateful_memes/img/43217.png,1,slaves in the south were uneducated false. they all had their masters
4023,32617,hateful_memes/img/32617.png,0,aaaaaaaaaaaaaah my dick is stuck in the drawer
10122,75063,hateful_memes/img/75063.png,0,morgan freeman has been old my entire life. 2000 2017
8880,73416,hateful_memes/img/73416.png,0,making fans everywhere
4220,17054,hateful_memes/img/17054.png,0,"lesbians when they spot a hot straight girl... ""call me tina cos i'm gonna turner"""
9616,81243,hateful_memes/img/81243.png,0,when you spam your friends with kdrama and kpop memes i'm in the middle of gracing you with a divine blessing
12164,24569,hateful_memes/img/24569.png,0,the first annual mohammed-a-thon
9408,63804,hateful_memes/img/63804.png,1,this is the muslim brotherhood
5751,79234,hateful_memes/img/79234.png,0,that look when your father sells you for a goat
6791,92085,hateful_memes/img/92085.png,0,creeps into your childs room empties his sack
6929,67394,hateful_memes/img/67394.png,1,once you go black so does your eye
8993,23854,hateful_memes/img/23854.png,1,i only wear silk panties cotton ones remind me of slavery
5721,49285,hateful_memes/img/49285.png,1,bert and ernie dress up as goats in an attempt to catfish arab men
7606,68249,hateful_memes/img/68249.png,0,"told you back in 1980 the bushes were liberals in republican clothing, just like mccain"
1166,86215,hateful_memes/img/86215.png,0,just going out for groceries
5028,24918,hateful_memes/img/24918.png,0,7 generations of check engine lights
9329,34275,hateful_memes/img/34275.png,0,i hate when i see a black out in my neighborhood but i still offer my neighbors a candle
5740,68951,hateful_memes/img/68951.png,0,"if i get compared to michelle obama one more time, i'm gonna lose it!!!"
9500,23401,hateful_memes/img/23401.png,0,i just realized we know we don't want him in the same bathroom with our wives
5478,64593,hateful_memes/img/64593.png,0,mr. wilson you have to take your pill with water you can't crush it up and snort it off my tits
1433,16478,hateful_memes/img/16478.png,0,do you think cnn will be warned when 70 fbi agents show up at brennan's house at 5am?
9880,63290,hateful_memes/img/63290.png,0,everyone else's butt vs my butt
10064,86271,hateful_memes/img/86271.png,0,marriage is simple your wife does whatever she wants and you do whatever she wants
937,40856,hateful_memes/img/40856.png,1,hey! stop picking on him! f*ggots are people too!
11054,04371,hateful_memes/img/04371.png,1,the first annual mohammed-a-thon
4442,38724,hateful_memes/img/38724.png,1,border agents in texas apprehend over 400 illegals in just a 5-minute span this is an invasion! why are some republicans trying to keep our borders open??
3372,62904,hateful_memes/img/62904.png,0,this is why we shoot you guys
11804,63152,hateful_memes/img/63152.png,0,overcome anyhting
12135,82713,hateful_memes/img/82713.png,0,suprise face suprise attitude
2407,58096,hateful_memes/img/58096.png,0,grandma is not getting run over by a reindeer this year!!
12085,17590,hateful_memes/img/17590.png,0,loading the dishwasher in the back solid move
2620,20759,hateful_memes/img/20759.png,1,this steak is so black it stole my television
5062,86127,hateful_memes/img/86127.png,0,violence against men: you go girl violence against women: stop the cycle of violence
5400,80926,hateful_memes/img/80926.png,0,hunger games he's winning
7198,40269,hateful_memes/img/40269.png,0,what's really crazy is it is illegal for minors to drink but not for minors to be taking hormones and having surgery to change their appearance to the opposite gender. and nobody cares that gender reassignment is being paid for with their tax money and insurance premiums
1530,86173,hateful_memes/img/86173.png,1,when i said i wanted a little pussy this is not really what i had in mind.
1197,18430,hateful_memes/img/18430.png,1,share a coke with your dad
4112,10867,hateful_memes/img/10867.png,0,official muslim refugee checkpoint
3026,02947,hateful_memes/img/02947.png,0,meanwhile at the isis strip club
9669,87024,hateful_memes/img/87024.png,0,how you show up for the pta meeting when you know your kid has been a little shit
135,82054,hateful_memes/img/82054.png,0,puzzle level expert
8638,01892,hateful_memes/img/01892.png,0,i did not divide the country the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country
3909,29475,hateful_memes/img/29475.png,0,you get 10 times more chicks than me? 10 times o is o
450,02518,hateful_memes/img/02518.png,0,when the dog bites you and you bite back to assert dominance
47,71269,hateful_memes/img/71269.png,0,to defeat men like this protests are held so voices are heard
83,23470,hateful_memes/img/23470.png,0,surpass the expectations
5151,79368,hateful_memes/img/79368.png,1,how do you start a rave in ethiopia tape a peice of toast to the ceiling
2858,32876,hateful_memes/img/32876.png,1,those are some clean burning jews i tell ya h'wat
3272,62531,hateful_memes/img/62531.png,0,when one of your neighbor's needs help now this looks like a job for me
828,81527,hateful_memes/img/81527.png,0,what do gangsters and monkeys have in common
1981,47016,hateful_memes/img/47016.png,1,"last summer camp was so ""lit"""
7420,97142,hateful_memes/img/97142.png,0,stupid americans.. they elect their enemy to rule over them
3691,51304,hateful_memes/img/51304.png,0,"god loves all his children, all of them"
8288,19768,hateful_memes/img/19768.png,0,look if you dont vote for me... i'll just import people who will
6839,47368,hateful_memes/img/47368.png,0,now what !? captain vagina hit them with your purse?
8660,24317,hateful_memes/img/24317.png,0,that look you give when you got your fix but not your kids
8,86471,hateful_memes/img/86471.png,0,did i leave the oven on?
10234,31285,hateful_memes/img/31285.png,0,how christians act in a religious discussion
10732,54721,hateful_memes/img/54721.png,1,when you meet the guy robbing the house next door to the house you're also robbing
9703,23957,hateful_memes/img/23957.png,1,"go ahead, call the cops they can't un-rape you"
11680,87156,hateful_memes/img/87156.png,0,when you get all the killstreaks
8485,09462,hateful_memes/img/09462.png,0,halloween got you like
1984,84150,hateful_memes/img/84150.png,0,when your jewish friend smells a stash of coins in public
311,52104,hateful_memes/img/52104.png,0,"lebanon: before islam after islam but don't worry! after islam takes over, there'll be a golden age... apparently"
8777,06793,hateful_memes/img/06793.png,0,"when asked what i did over the weekend i reply, ""why, what did you hear"
